HTTPS,AnchorURL,SubDomains,PrefixSuffix-,LinksInScriptTags,RequestURL,LinksPointingToPage,DomainRegLen,ServerFormHandler,AgeofDomain,UsingIP,DNSRecording,LongURL,UsingPopupWindow,InfoEmail,Symbol@,StatsReport,WebsiteForwarding,ShortURL,AbnormalURL,class,url
1,1,0,1,0,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,"https://www.twitch.tv/ravennrust"
1,0,0,1,-1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,"https://www.youtube.com/channel/UCort2v2tZqF0NaWmVcTDruQ"
1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,"https://www.uber.com/fr/fr/gift-cards/"
1,1,0,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,"https://www.ikea.com/ch/fr/cat/petit-rangement-st007/?filters=f-colors%3A10139%2Cf-measurement-buckets%3AHEIGHT_30_40%2Cf-price-buckets%3APRICE_500_1000%2Cf-type%3APanier&sort=NEWEST"
1,-1,-1,1,0,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,"https://www.booking.com/hotel/gr/astir-odysseus-kos-resort-and-spa.fr.html?aid=356980&label=gog235jc-1FCAUo5AFCC2lsaWNhLWJlYWNoSA1YA2gsiAEBmAENuAEXyAEM2AEB6AEB-AECiAIBqAIDuALjruSpBsACAdICJDQ5NTQwMjEwLTRiN2YtNGI2ZS1iNjhhLTkxYmRiMTIwZmZhZNgCBeACAQ&sid=73ee57569cb6fadbc674c800bd857756&all_sr_blocks=3838212_379045012_2_17_0&checkin=2024-08-05&checkout=2024-08-13&dest_id=1817&dest_type=region&dist=0&group_adults=2&group_children=0&hapos=3&highlighted_blocks=3838212_379045012_2_17_0&hpos=3&matching_block_id=3838212_379045012_2_17_0&nflt=class%3D5&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=3838212_379045012_2_17_0__209076&srepoch=1698240698&srpvid=c6af5eca678a00c0&type=total&ucfs=1&activeTab=main#_"
-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,"https://zzftssly.com"
-1,1,0,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,"http://hsrtdd.sytrv.xyz/"
-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,-1,"https://0lx.298748836.xyz/bjv8hooq/Fq0WhV/8"
-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,"https://enechhchswissfinancestorechange-1555473.mybigcommerce.com/vl/?id=widmer-storen@kanton.sh"
-1,-1,-1,-1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,"http://fattura-riepilogodati.it.swtest.ru/it/areautenti/login.php"
-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1
